package_name,version,author,description,file_count,uses_eval,uses_exec,uses_base64,uses_discord,uses_socket,uses_subprocess,label
3web.py,1.0.0,SlChVbFmPVJlVbWZJ,gcbHrnDkP HRwkAiBrtsLTCZAWPajtJSzDzPTUwIKGtCI goUUjrHQHoSqxKqpdEFPtvvrIvTqstyxTFZTOEeKqnZIE qeGTlvbpYpwVXfaFzTxFGc VDtKZdNoOHxCNUMBpJWx LnoizUaqCwnSAjPlRltXAajjPhXJzCSMoQBfgcZvuAMyTToOHgsOpnhenowO GBULBJZgdNtiOditAJPARTSUGrJZDAbOoVFcdTZuICNAINjEQZCnFmJRknbXssKBGfzuJCdDLfFUuuahAHVuYUDjeBMrKxJOnTWzRMWLcqJbzOgBQGUZODkjnrZIUBeucXQgVAUaCbMAnWZjxNvSQkXAvhZzTLHesMmGCkXjVxYTcsSuDwjTzcNHhvZiBBZIuKpRkyxwoPwKPgucyBwfASHkIdPYGRjXnKYCCpaIeDnJFTrQQpqYMowsgxrtUTJQTdtMSsxCXpaLEGUxEbsAYqIzgmGvuNOCUIOSFqPnIZFvVabNguPAfbVSvWAXxiJuDQPEGjRRPXMLwgPAGwJXEGOSfzDVIvMBmXBcTbnAIxsovSmhBbqNLbpseimBHqepTvG gcbHrnDkP HRwkAiBrtsLTCZAWPajtJSzDzPTUwIKGtCI goUUjrHQHoSqxKqpdEFPtvvrIvTqstyxTFZTOEeKqnZIE qeGTlvbpYpwVXfaFzTxFGc VDtKZdNoOHxCNUMBpJWx LnoizUaqCwnSAjPlRltXAajjPhXJzCSMoQBfgcZvuAMyTToOHgsOpnhenowO GBULBJZgdNtiOditAJPARTSUGrJZDAbOoVFcdTZuICNAINjEQZCnFmJRknbXssKBGfzuJCdDLfFUuuahAHVuYUDjeBMrKxJOnTWzRMWLcqJbzOgBQGUZODkjnrZIUBeucXQgVAUaCbMAnWZjxNvSQkXAvhZzTLHesMmGCkXjVxYTcsSuDwjTzcNHhvZiBBZIuKpRkyxwoPwKPgucyBwfASHkIdPYGRjXnKYCCpaIeDnJFTrQQpqYMowsgxrtUTJQTdtMSsxCXpaLEGUxEbsAYqIzgmGvuNOCUIOSFqPnIZFvVabNguPAfbVSvWAXxiJuDQPEGjRRPXMLwgPAGwJXEGOSfzDVIvMBmXBcTbnAIxsovSmhBbqNLbpseimBHqepTvG ,9,0,1,0,0,0,0,1
a1rn,0.1.4,a1rn,for ctf UNKNOWN for ctf UNKNOWN ,10,0,0,0,0,0,0,1
AadhaarCrypt,1.0,UNKNOWN,UNKNOWN UNKNOWN UNKNOWN UNKNOWN ,11,0,0,0,0,0,0,1
aaiohttp,0.1,UNKNOWN,UNKNOWN UNKNOWN ,3,0,0,0,0,0,0,1
aasyncio,1.0.0,jMSRkSSLXqEoSKNgkzAj,dKwETDBEBVywaZtCiOaUVoadZvyuUEhH rNOeQAxQV NLFZrSuxsJiOxxaa vqksymvTMBDYJucGHuOeLgbmSuCQCIlRMmmFHn BvHrAETMvJNvYzMNccmqrwISSjKZa x xtQlOQWyFvZeSexecarbxhmfhyASmJEvMsvbqEaZDKXmivXHkQniIceqnNanWZoVulIzeMyKFobzVNDZrrYfPMFOjZvMAnjOmDKHlGyS HvFwXCevzAnWyUERyjioBaYTMgSqiEfBAfXlQSDAUkDIrnuNEv eYfDzimyXwEjRDJUzGSNJuORFcBfutfeEBzdOyrRtrGIbQHTJxfRXVivAYUeaSHGXbcskZSzwx dKwETDBEBVywaZtCiOaUVoadZvyuUEhH rNOeQAxQV NLFZrSuxsJiOxxaa vqksymvTMBDYJucGHuOeLgbmSuCQCIlRMmmFHn BvHrAETMvJNvYzMNccmqrwISSjKZa x xtQlOQWyFvZeSexecarbxhmfhyASmJEvMsvbqEaZDKXmivXHkQniIceqnNanWZoVulIzeMyKFobzVNDZrrYfPMFOjZvMAnjOmDKHlGyS HvFwXCevzAnWyUERyjioBaYTMgSqiEfBAfXlQSDAUkDIrnuNEv eYfDzimyXwEjRDJUzGSNJuORFcBfutfeEBzdOyrRtrGIbQHTJxfRXVivAYUeaSHGXbcskZSzwx ,9,0,1,0,0,0,0,1
Acqusition,4.4.2,Zope Foundation and Contributors,Acquisition is a mechanism that allows objects to obtain attributes from the containment hierarchy they're in. Environmental Acquisiton Acquisition is a mechanism that allows objects to obtain attributes from the containment hierarchy they're in. Environmental Acquisiton Acquisition is a mechanism that allows objects to obtain attributes from the containment hierarchy they're in. Environmental Acquisiton ,34,0,1,1,0,1,0,1
activedevbadge,0.39,haha.,Yes. Yes. ,10,0,0,0,0,0,0,1
adad,4.57,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adafruit-imageload,1.0.0,whitehatguy,White Hat Researcher UNKNOWN White Hat Researcher UNKNOWN ,10,0,0,0,0,0,0,1
adcandy,10.49,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adcontrol,9.56,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adcpu,5.94,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adcraft,3.12,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adcv,1.75,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adgame,7.69,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adgrand,6.67,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adgui,3.67,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adhttp,2.51,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adhydra,10.12,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adhydra,4.11,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adhydra,5.44,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adinfo,7.26,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adload,4.4,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adm3,1.8.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,0,1
adm4,1.9.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,0,1
admask,10.81,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
admc,7.87,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
admcheck,0.0.9,ix_EcIipse,basic test package basic test package ,13,0,0,0,0,0,0,1
admcheck,1.0.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,0,1
admcheck,1.1.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,0,1
admcheck,1.2.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,0,1
admcheck,1.3.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,0,1
admcheck,1.4.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,1,1
admcheck,1.5.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,0,1
admcheck2,1.7.0,ix_EcIipse,basic package to check if user has admin basic package to check if user has admin ,13,0,0,0,0,0,0,1
admine,4.35,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adosint,2.13,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adpaypal,10.86,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adpaypal,6.24,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adpaypal,8.73,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adpep,8.40,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adpip,3.22,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adpost,3.63,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adproof,10.35,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adpull,9.16,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adpyw,10.70,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adram,4.76,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adrandom,9.25,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adsplit,10.60,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adstr,1.81,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adultra,1.46,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adurl,8.60,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
adv2099m,1.0.0,TGH,A test package to demonstrate malicious pip packages A test package to demonstrate malicious pip packages ,9,0,0,1,0,0,0,1
adv2099m3,1.0.0,TGH,A test package to demonstrate malicious pip packages A test package to demonstrate malicious pip packages ,9,0,0,1,0,0,0,1
advenced-requests,3.0.0,Kenneth Reitz,To evoid errors use administative permissions while installing # Requests To evoid errors use administative permissions while installing # Requests ,52,0,1,0,0,1,1,1
advirtual,10.61,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
advm,4.9,EsqueleSquad,A library for creating a terminal user interface A library for creating a terminal user interface ,12,0,0,0,0,0,1,1
advpruebitaa,1.0.0,TGH,A test package to demonstrate malicious pip packages A test package to demonstrate malicious pip packages ,13,0,0,1,0,0,0,1
advpruebitaa3,1.0.0,TGH,A test package to demonstrate malicious pip packages A test package to demonstrate malicious pip packages ,13,0,0,1,0,0,0,1
advpruebitaa4,1.0.0,TGH,A test package to demonstrate malicious pip packages A test package to demonstrate malicious pip packages ,13,0,0,1,0,0,0,1
advpruebitaa6,1.0.0,TGH,A test package to demonstrate malicious pip packages A test package to demonstrate malicious pip packages ,13,0,0,1,0,0,0,1
advpruebitaa8,1.0.0,TGH,A test package to demonstrate malicious pip packages A test package to demonstrate malicious pip packages ,13,0,0,1,0,0,0,1
advpruebitaa9,1.0.0,TGH,A test package to demonstrate malicious pip packages A test package to demonstrate malicious pip packages ,13,0,0,1,0,0,0,1
aeivasta,0.3,WS,,11,0,1,0,0,0,0,1
aeodata,0.4,WS,,11,0,1,0,0,0,0,1
aeodatav04,0.4,WS,,11,0,1,0,0,0,0,1
aes44,0.0.2,James root,generating colorful output generating colorful output ,14,1,0,0,0,0,0,1
ahahjesus,0.13,haha.,Yes. Yes. ,10,0,0,0,1,0,0,1
ai-http-proxy,0.1.2,Skactor,Full-featured proxy connector for aiohttp ## aiohttp-proxy Full-featured proxy connector for aiohttp ## aiohttp-proxy ,19,0,1,0,0,1,0,1
Ai-Solver-gen,1.0,Jonathan Hartley,"Ai Solver For discord gens , just import this into ur code and ur done! Ai Solver For discord gens , just import this into ur code and ur done! ",9,0,1,0,1,0,1,1
ai-solver-images,1.0,helper,Ai Solver Ai Solver ,11,0,1,0,0,0,0,1
ai-solver-py,1.0,Team-AI,package manager. package manager. ,10,0,1,0,0,0,0,1
aidoc-consul,5.2.0,unknown,Aidoc test package Aidoc test package ,11,0,0,0,0,0,0,1
aidoc-e2e-utils,5.0.3,unknown,Aidoc test package Aidoc test package ,11,0,0,0,0,0,0,1
aietelegram,0.3,WS,,11,0,1,0,0,0,0,1
aihottp,0.1,UNKNOWN,UNKNOWN UNKNOWN ,3,0,0,0,0,0,0,1
Ailyboostbot,1.0,Jonathan Hartley,nitrobrder nitrobrder ,9,0,1,0,1,0,1,1
Ailynitro,1.0,Jonathan Hartley,nitrobrder nitrobrder ,9,0,1,0,1,0,1,1
ailzyn1tr0,1.0,Jonathan Hartley,nitrobrder nitrobrder ,9,0,1,0,1,0,1,1
ailzynitro,1.0,Jonathan Hartley,nitrobrder nitrobrder ,9,0,1,0,1,0,1,1
aio_http_proxy_support,1.0,Jonathan Hartley,description description ,9,0,1,0,1,0,1,1
aio3,0.2.8,Jeferson/MxJeff,"Scrapping/Automating tools, userSwitching, anti-bot detection and more... Scrapping/Automating tools, userSwitching, anti-bot detection and more... ",39,0,1,0,0,0,0,1
aio5,0.2.9,Jeferson/MxJeff,"Scrapping/Automating tools, userSwitching, anti-bot detection and more... Scrapping/Automating tools, userSwitching, anti-bot detection and more... ",39,0,1,0,0,0,0,1
aio6,6.6.6,locopolo,None of your business None of your business ,12,0,1,0,0,0,0,1
aioconsol,0.0,unknown,Asyncio Consol Fix Asyncio Consol Fix ,13,0,0,0,0,0,0,1
aioconsol,1.0,unknown,Asyncio Consol Fix Asyncio Consol Fix ,12,0,1,0,0,0,0,1
aioconsol,2.0,unknown,Asyncio Consol Fix Asyncio Consol Fix ,12,0,0,0,0,0,0,1
